Story;Column;Load;Loc;P;V2;V3;T;M2;M3
PISO 3;C1;SU01;0;-33.99;1.52;5.62;-0.021;-7.848;0.019
PISO 3;C1;SU01;0.235;-33.4;1.52;5.62;-0.021;-9.168;-0.339
PISO 3;C1;SU01;0.47;-32.81;1.52;5.62;-0.021;-10.488;-0.696
PISO 3;C1;SU01;0.705;-32.21;1.52;5.62;-0.021;-11.808;-1.054
PISO 3;C1;SU01;0.94;-31.62;1.52;5.62;-0.021;-13.128;-1.412
PISO 3;C1;SU01;1.175;-31.03;1.52;5.62;-0.021;-14.449;-1.77
PISO 3;C1;SU01;1.41;-30.44;1.52;5.62;-0.021;-15.769;-2.127
PISO 3;C1;SU01;1.645;-29.84;1.52;5.62;-0.021;-17.089;-2.485
PISO 3;C1;SU01;1.88;-29.25;1.52;5.62;-0.021;-18.408;-2.843
PISO 3;C1;SU01;2.115;-28.66;1.52;5.62;-0.021;-19.728;-3.201
PISO 3;C1;SU01;2.35;-28.06;1.52;5.62;-0.021;-21.048;-3.558
PISO 3;C1;SU02;0;-36.02;-2.4;21.5;-0.028;34.197;-9.655
PISO 3;C1;SU02;0.235;-35.51;-2.4;21.5;-0.028;29.148;-9.092
PISO 3;C1;SU02;0.47;-35;-2.4;21.5;-0.028;24.1;-8.53
PISO 3;C1;SU02;0.705;-34.5;-2.4;21.5;-0.028;19.051;-7.967
PISO 3;C1;SU02;0.94;-33.99;-2.4;21.5;-0.028;14.003;-7.404
PISO 3;C1;SU02;1.175;-33.48;-2.4;21.5;-0.028;8.954;-6.842
PISO 3;C1;SU02;1.41;-32.97;-2.4;21.5;-0.028;3.906;-6.279
PISO 3;C1;SU02;1.645;-32.46;-2.4;21.5;-0.028;-1.143;-5.716
PISO 3;C1;SU02;1.88;-31.96;-2.4;21.5;-0.028;-6.192;-5.153
PISO 3;C1;SU02;2.115;-31.45;-2.4;21.5;-0.028;-11.24;-4.591
PISO 3;C1;SU02;2.35;-30.94;-2.4;21.5;-0.028;-16.289;-4.028
PISO 3;C1;SU03;0;-31.3;1.53;4.42;-0.02;-10.3;0.433
PISO 3;C1;SU03;0.235;-30.79;1.53;4.42;-0.02;-11.337;0.072
PISO 3;C1;SU03;0.47;-30.28;1.53;4.42;-0.02;-12.375;-0.289
PISO 3;C1;SU03;0.705;-29.77;1.53;4.42;-0.02;-13.412;-0.649
PISO 3;C1;SU03;0.94;-29.27;1.53;4.42;-0.02;-14.449;-1.01
