Story;Label;DesignSect;Station;DesignOpt;Status;PMMCombo;AsMin;As;CornerBarAs;Mid Bar As;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;WarnMsg;ErrMsg
P41;C1;C80x60H350;0;Design;No Message;SU13-I=1.1;0.0048;0.005513;0.000306;0.000306;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;0.215;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;0.43;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;0.645;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;0.86;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;1.075;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;1.29;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;1.505;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;1.72;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;1.935;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C1;C80x60H350;2.15;Design;No Message;SU09-I=1.1;0.0048;0.008728;0.000485;0.000485;;SU14-I=1.1;0.00356;SU14-I=1.1;0.00168;No Message;No Message
P41;C2;C80x50H350;0;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;0.215;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;0.43;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;0.645;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;0.86;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;1.075;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;1.29;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;1.505;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;1.72;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;1.935;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C2;C80x50H350;2.15;Design;No Message;SU14-I=1.1;0.004;0.005845;0.000325;0.000325;;SU14-I=1.1;0.00228;SU14-I=1.1;0.0015;No Message;No Message
P41;C3;C80x50H350;0;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;0.215;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;0.43;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;0.645;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;0.86;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;1.075;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;1.29;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;1.505;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;1.72;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;1.935;Design;No Message;SU14-I=1.1;0.004;0.004;0.000222;0.000222;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C3;C80x50H350;2.15;Design;No Message;SU14-I=1.1;0.004;0.005192;0.000288;0.000288;;SU14-I=1.1;0.00206;SU14-I=1.1;0.00149;No Message;No Message
P41;C4;C80x60H350;0;Design;No Message;SU13-I=1.1;0.0048;0.004985;0.000277;0.000277;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;0.215;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;0.43;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;0.645;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;0.86;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;1.075;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;1.29;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;1.505;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;1.72;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;1.935;Design;No Message;SU14-I=1.1;0.0048;0.0048;0.000267;0.000267;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C4;C80x60H350;2.15;Design;No Message;SU10-I=1.1;0.0048;0.008587;0.000477;0.000477;;SU14-I=1.1;0.00347;SU14-I=1.1;0.0017;No Message;No Message
P41;C7;C60x100H350;0;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;0.215;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;0.43;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;0.645;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;0.86;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;1.075;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;1.29;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;1.505;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;1.72;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
P41;C7;C60x100H350;1.935;Design;No Message;SU14-I=1.1;0.006;0.006;0.000381;0.00028;;SU14-I=1.1;0.00187;SU14-I=1.1;0.00168;No Message;No Message
