Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY10;C1;C40X80H280;0;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;0.255;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;0.51;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;0.765;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;1.02;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;1.275;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;1.53;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;1.785;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;2.04;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;2.295;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY10;C1;C40X80H280;2.55;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU13;0.000897;SU13;0.000393;No Message;No Message
STORY9;C1;C40X80H280;0;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;0.255;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;0.51;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;0.765;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;1.02;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;1.275;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;1.53;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;1.785;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;2.04;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;2.295;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY9;C1;C40X80H280;2.55;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001119;SU13;0.000523;No Message;No Message
STORY8;C1;C40X80H280;0;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001237;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;0.255;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;0.51;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;0.765;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;1.02;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;1.275;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;1.53;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;1.785;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;2.04;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;2.295;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY8;C1;C40X80H280;2.55;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU12;0.001357;SU11;0.000642;No Message;No Message
STORY7;C1;C40X80H280;0;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
STORY7;C1;C40X80H280;0.255;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
STORY7;C1;C40X80H280;0.51;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
STORY7;C1;C40X80H280;0.765;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
STORY7;C1;C40X80H280;1.02;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
STORY7;C1;C40X80H280;1.275;Design;No Message;SU13;0.0032;0.0032;0.000229;0.000229;;SU10;0.001479;SU09;0.00082;No Message;No Message
