Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY10;C1;SS01;0;-17.6;-1.96;-2.31;0.177;-2.551;-2.373
STORY10;C1;SS01;0.255;-17.41;-1.96;-2.31;0.177;-1.962;-1.871
STORY10;C1;SS01;0.51;-17.21;-1.96;-2.31;0.177;-1.373;-1.37
STORY10;C1;SS01;0.765;-17.01;-1.96;-2.31;0.177;-0.784;-0.868
STORY10;C1;SS01;1.02;-16.82;-1.96;-2.31;0.177;-0.195;-0.367
STORY10;C1;SS01;1.275;-16.62;-1.96;-2.31;0.177;0.394;0.135
STORY10;C1;SS01;1.53;-16.43;-1.96;-2.31;0.177;0.983;0.637
STORY10;C1;SS01;1.785;-16.23;-1.96;-2.31;0.177;1.572;1.139
STORY10;C1;SS01;2.04;-16.03;-1.96;-2.31;0.177;2.161;1.64
STORY10;C1;SS01;2.295;-15.84;-1.96;-2.31;0.177;2.749;2.142
STORY10;C1;SS01;2.55;-15.64;-1.96;-2.31;0.177;3.338;2.643
STORY10;C1;SS02;0;-21.3;-2.99;-2.76;0.208;-2.952;-3.584
STORY10;C1;SS02;0.255;-21.1;-2.99;-2.76;0.208;-2.249;-2.82
STORY10;C1;SS02;0.51;-20.91;-2.99;-2.76;0.208;-1.546;-2.057
STORY10;C1;SS02;0.765;-20.71;-2.99;-2.76;0.208;-0.843;-1.293
STORY10;C1;SS02;1.02;-20.52;-2.99;-2.76;0.208;-0.14;-0.529
STORY10;C1;SS02;1.275;-20.32;-2.99;-2.76;0.208;0.563;0.235
STORY10;C1;SS02;1.53;-20.12;-2.99;-2.76;0.208;1.267;0.999
STORY10;C1;SS02;1.785;-19.93;-2.99;-2.76;0.208;1.97;1.763
STORY10;C1;SS02;2.04;-19.73;-2.99;-2.76;0.208;2.673;2.526
STORY10;C1;SS02;2.295;-19.54;-2.99;-2.76;0.208;3.376;3.289
STORY10;C1;SS02;2.55;-19.34;-2.99;-2.76;0.208;4.078;4.052
STORY10;C1;SS03;0;-17.6;-1.96;-2.31;0.177;-2.55;-2.373
STORY10;C1;SS03;0.255;-17.4;-1.96;-2.31;0.177;-1.961;-1.871
STORY10;C1;SS03;0.51;-17.21;-1.96;-2.31;0.177;-1.373;-1.37
