Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY10;C1;SU01;0;-24.64;-2.75;-3.23;0.248;-3.57;-3.322
STORY10;C1;SU01;0.255;-24.37;-2.75;-3.23;0.248;-2.746;-2.62
STORY10;C1;SU01;0.51;-24.09;-2.75;-3.23;0.248;-1.922;-1.918
STORY10;C1;SU01;0.765;-23.82;-2.75;-3.23;0.248;-1.097;-1.215
STORY10;C1;SU01;1.02;-23.54;-2.75;-3.23;0.248;-0.273;-0.513
STORY10;C1;SU01;1.275;-23.27;-2.75;-3.23;0.248;0.552;0.189
STORY10;C1;SU01;1.53;-22.99;-2.75;-3.23;0.248;1.376;0.892
STORY10;C1;SU01;1.785;-22.72;-2.75;-3.23;0.248;2.2;1.594
STORY10;C1;SU01;2.04;-22.45;-2.75;-3.23;0.248;3.025;2.296
STORY10;C1;SU01;2.295;-22.17;-2.75;-3.23;0.248;3.849;2.998
STORY10;C1;SU01;2.55;-21.9;-2.75;-3.23;0.248;4.673;3.7
STORY10;C1;SU02;0;-27.04;-4;-3.49;0.262;-3.703;-4.785
STORY10;C1;SU02;0.255;-26.81;-4;-3.49;0.262;-2.814;-3.764
STORY10;C1;SU02;0.51;-26.57;-4;-3.49;0.262;-1.924;-2.743
STORY10;C1;SU02;0.765;-26.34;-4;-3.49;0.262;-1.035;-1.722
STORY10;C1;SU02;1.02;-26.1;-4;-3.49;0.262;-0.145;-0.7
STORY10;C1;SU02;1.275;-25.86;-4;-3.49;0.262;0.744;0.322
STORY10;C1;SU02;1.53;-25.63;-4;-3.49;0.262;1.633;1.343
STORY10;C1;SU02;1.785;-25.39;-4;-3.49;0.262;2.523;2.365
STORY10;C1;SU02;2.04;-25.16;-4;-3.49;0.262;3.412;3.386
STORY10;C1;SU02;2.295;-24.92;-4;-3.49;0.262;4.301;4.406
STORY10;C1;SU02;2.55;-24.69;-4;-3.49;0.262;5.19;5.427
STORY10;C1;SU03;0;-21.12;-2.36;-2.77;0.212;-3.061;-2.847
STORY10;C1;SU03;0.255;-20.89;-2.36;-2.77;0.212;-2.354;-2.246
STORY10;C1;SU03;0.51;-20.65;-2.36;-2.77;0.212;-1.648;-1.644
STORY10;C1;SU03;0.765;-20.42;-2.36;-2.77;0.212;-0.941;-1.042
STORY10;C1;SU03;1.02;-20.18;-2.36;-2.77;0.212;-0.234;-0.44
STORY10;C1;SU03;1.275;-19.95;-2.36;-2.77;0.212;0.473;0.162
STORY10;C1;SU03;1.53;-19.71;-2.36;-2.77;0.212;1.179;0.764
STORY10;C1;SU03;1.785;-19.47;-2.36;-2.77;0.212;1.886;1.367
