Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY3;C1;C60X40H280;0;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.235;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.47;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.705;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.94;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.95;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;0.95;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.175;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.41;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.645;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.88;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.9;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU09;0.000333;SU09;0;No Message;No Message
STORY3;C1;C60X40H280;1.9;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000551;SU06;0.0005;No Message;No Message
STORY3;C1;C60X40H280;2.115;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000552;SU06;0.0005;No Message;No Message
STORY3;C1;C60X40H280;2.35;Design;No Message;SU05;0.0024;0.002547;0.000212;0.000212;;SU05;0.000552;SU06;0.0005;No Message;No Message
STORY2;C1;C60X40H280;0;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.24;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.48;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.72;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.95;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU05;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.95;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;0.96;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;1.2;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
STORY2;C1;C60X40H280;1.44;Design;No Message;SU09;0.0024;0.0024;0.0002;0.0002;;SU08;0.000333;SU09;0;No Message;No Message
