Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY2;C1;SU01;0;-63.91;-4.43;-5.18;0.023;-4.391;-5.019
STORY2;C1;SU01;0.227;-63.73;-4.43;-5.18;0.023;-3.217;-4.015
STORY2;C1;SU01;0.453;-63.55;-4.43;-5.18;0.023;-2.042;-3.01
STORY2;C1;SU01;0.68;-63.36;-4.43;-5.18;0.023;-0.868;-2.003
STORY2;C1;SU01;0.906;-63.18;-4.43;-5.18;0.023;0.307;-0.996
STORY2;C1;SU01;1.133;-63;-4.43;-5.18;0.023;1.482;0.012
STORY2;C1;SU01;1.359;-62.81;-4.43;-5.18;0.023;2.657;1.019
STORY2;C1;SU01;1.586;-62.63;-4.43;-5.18;0.023;3.832;2.025
STORY2;C1;SU01;1.812;-62.45;-4.43;-5.18;0.023;5.005;3.03
STORY2;C1;SU01;2.039;-62.27;-4.43;-5.18;0.023;6.178;4.033
STORY2;C1;SU01;2.19;-62.14;-4.43;-5.18;0.023;6.962;4.702
STORY2;C1;SU01;2.19;-39.74;-4.43;-5.18;0.023;6.962;15.902
STORY2;C1;SU01;2.265;-39.68;-4.43;-5.18;0.023;7.35;16.233
STORY2;C1;SU02;0;-93.94;-5.89;-7.08;0.027;-6.306;-7.169
STORY2;C1;SU02;0.227;-93.79;-5.89;-7.08;0.027;-4.7;-5.836
STORY2;C1;SU02;0.453;-93.63;-5.89;-7.08;0.027;-3.094;-4.501
STORY2;C1;SU02;0.68;-93.47;-5.89;-7.08;0.027;-1.487;-3.163
STORY2;C1;SU02;0.906;-93.32;-5.89;-7.08;0.027;0.12;-1.824
STORY2;C1;SU02;1.133;-93.16;-5.89;-7.08;0.027;1.727;-0.485
STORY2;C1;SU02;1.359;-93;-5.89;-7.08;0.027;3.334;0.854
STORY2;C1;SU02;1.586;-92.85;-5.89;-7.08;0.027;4.94;2.191
STORY2;C1;SU02;1.812;-92.69;-5.89;-7.08;0.027;6.546;3.527
STORY2;C1;SU02;2.039;-92.53;-5.89;-7.08;0.027;8.15;4.859
STORY2;C1;SU02;2.19;-92.43;-5.89;-7.08;0.027;9.223;5.749
STORY2;C1;SU02;2.19;-55.63;-5.89;-7.08;0.027;9.223;24.149
STORY2;C1;SU02;2.265;-55.58;-5.89;-7.08;0.027;9.754;24.588
STORY2;C1;SU03;0;-54.78;-3.8;-4.44;0.02;-3.764;-4.302
STORY2;C1;SU03;0.227;-54.62;-3.8;-4.44;0.02;-2.758;-3.442
STORY2;C1;SU03;0.453;-54.47;-3.8;-4.44;0.02;-1.751;-2.58
STORY2;C1;SU03;0.68;-54.31;-3.8;-4.44;0.02;-0.744;-1.717
STORY2;C1;SU03;0.906;-54.15;-3.8;-4.44;0.02;0.264;-0.854
STORY2;C1;SU03;1.133;-54;-3.8;-4.44;0.02;1.271;0.01
STORY2;C1;SU03;1.359;-53.84;-3.8;-4.44;0.02;2.278;0.873
STORY2;C1;SU03;1.586;-53.68;-3.8;-4.44;0.02;3.284;1.736
STORY2;C1;SU03;1.812;-53.53;-3.8;-4.44;0.02;4.29;2.597
STORY2;C1;SU03;2.039;-53.37;-3.8;-4.44;0.02;5.296;3.457
STORY2;C1;SU03;2.19;-53.27;-3.8;-4.44;0.02;5.968;4.03
STORY2;C1;SU03;2.19;-34.07;-3.8;-4.44;0.02;5.968;13.63
STORY2;C1;SU03;2.265;-34.01;-3.8;-4.44;0.02;6.3;13.914
STORY2;C1;SU04;0;-79.26;-5.11;-6.09;0.024;-5.353;-6.094
STORY2;C1;SU04;0.227;-79.1;-5.11;-6.09;0.024;-3.972;-4.938
STORY2;C1;SU04;0.453;-78.94;-5.11;-6.09;0.024;-2.59;-3.78
STORY2;C1;SU04;0.68;-78.79;-5.11;-6.09;0.024;-1.208;-2.621
STORY2;C1;SU04;0.906;-78.63;-5.11;-6.09;0.024;0.174;-1.46
STORY2;C1;SU04;1.133;-78.47;-5.11;-6.09;0.024;1.556;-0.299
STORY2;C1;SU04;1.359;-78.32;-5.11;-6.09;0.024;2.938;0.861
STORY2;C1;SU04;1.586;-78.16;-5.11;-6.09;0.024;4.319;2.021
STORY2;C1;SU04;1.812;-78;-5.11;-6.09;0.024;5.7;3.178
STORY2;C1;SU04;2.039;-77.85;-5.11;-6.09;0.024;7.08;4.333
STORY2;C1;SU04;2.19;-77.74;-5.11;-6.09;0.024;8.002;5.104
STORY2;C1;SU04;2.19;-47.54;-5.11;-6.09;0.024;8.002;20.204
STORY2;C1;SU04;2.265;-47.49;-5.11;-6.09;0.024;8.459;20.585
STORY2;C1;SU05 MAX;0;-74.54;4.11;-4.33;0.262;-3.779;1.924
STORY2;C1;SU05 MAX;0.227;-74.38;4.11;-4.33;0.262;-2.723;0.972
STORY2;C1;SU05 MAX;0.453;-74.23;4.11;-4.33;0.262;-1.617;0.031
STORY2;C1;SU05 MAX;0.68;-74.07;4.11;-4.33;0.262;-0.47;-0.865
STORY2;C1;SU05 MAX;0.906;-73.91;4.11;-4.33;0.262;0.816;-0.661
STORY2;C1;SU05 MAX;1.133;-73.76;4.11;-4.33;0.262;2.365;2.387
STORY2;C1;SU05 MAX;1.359;-73.6;4.11;-4.33;0.262;4.059;5.632
STORY2;C1;SU05 MAX;1.586;-73.44;4.11;-4.33;0.262;5.797;8.896
STORY2;C1;SU05 MAX;1.812;-73.29;4.11;-4.33;0.262;7.551;12.162
STORY2;C1;SU05 MAX;2.039;-73.13;4.11;-4.33;0.262;9.314;15.425
STORY2;C1;SU05 MAX;2.19;-73.03;4.11;-4.33;0.262;10.495;17.605
STORY2;C1;SU05 MAX;2.19;-42.83;4.11;-4.33;0.262;10.495;32.705
STORY2;C1;SU05 MAX;2.265;-42.77;4.11;-4.33;0.262;11.081;33.783
STORY2;C1;SU05 MIN;0;-83.98;-14.32;-7.84;-0.214;-6.926;-14.112
STORY2;C1;SU05 MIN;0.227;-83.82;-14.32;-7.84;-0.214;-5.22;-10.849
STORY2;C1;SU05 MIN;0.453;-83.66;-14.32;-7.84;-0.214;-3.563;-7.591
STORY2;C1;SU05 MIN;0.68;-83.51;-14.32;-7.84;-0.214;-1.946;-4.377
STORY2;C1;SU05 MIN;0.906;-83.35;-14.32;-7.84;-0.214;-0.468;-2.26
STORY2;C1;SU05 MIN;1.133;-83.19;-14.32;-7.84;-0.214;0.748;-2.986
STORY2;C1;SU05 MIN;1.359;-83.03;-14.32;-7.84;-0.214;1.817;-3.91
STORY2;C1;SU05 MIN;1.586;-82.88;-14.32;-7.84;-0.214;2.842;-4.855
STORY2;C1;SU05 MIN;1.812;-82.72;-14.32;-7.84;-0.214;3.849;-5.806
STORY2;C1;SU05 MIN;2.039;-82.56;-14.32;-7.84;-0.214;4.846;-6.759
STORY2;C1;SU05 MIN;2.19;-82.46;-14.32;-7.84;-0.214;5.509;-7.396
STORY2;C1;SU05 MIN;2.19;-52.26;-14.32;-7.84;-0.214;5.509;7.704
STORY2;C1;SU05 MIN;2.265;-52.21;-14.32;-7.84;-0.214;5.837;7.388
STORY2;C1;SU06 MAX;0;-75.27;2.26;-0.96;0.469;-0.525;0.269
STORY2;C1;SU06 MAX;0.227;-75.12;2.26;-0.96;0.469;-0.229;-0.265
STORY2;C1;SU06 MAX;0.453;-74.96;2.26;-0.96;0.469;0.139;-0.795
STORY2;C1;SU06 MAX;0.68;-74.8;2.26;-0.96;0.469;0.641;-1.309
STORY2;C1;SU06 MAX;0.906;-74.65;2.26;-0.96;0.469;1.602;-0.932
STORY2;C1;SU06 MAX;1.133;-74.49;2.26;-0.96;0.469;3.434;1.847
STORY2;C1;SU06 MAX;1.359;-74.33;2.26;-0.96;0.469;5.746;4.691
STORY2;C1;SU06 MAX;1.586;-74.18;2.26;-0.96;0.469;8.198;7.54
STORY2;C1;SU06 MAX;1.812;-74.02;2.26;-0.96;0.469;10.698;10.387
STORY2;C1;SU06 MAX;2.039;-73.86;2.26;-0.96;0.469;13.219;13.229
STORY2;C1;SU06 MAX;2.19;-73.76;2.26;-0.96;0.469;14.912;15.128
STORY2;C1;SU06 MAX;2.19;-43.56;2.26;-0.96;0.469;14.912;30.228
STORY2;C1;SU06 MAX;2.265;-43.51;2.26;-0.96;0.469;15.75;31.167
STORY2;C1;SU06 MIN;0;-83.24;-12.47;-11.22;-0.42;-10.18;-12.457
STORY2;C1;SU06 MIN;0.227;-83.09;-12.47;-11.22;-0.42;-7.714;-9.611
STORY2;C1;SU06 MIN;0.453;-82.93;-12.47;-11.22;-0.42;-5.319;-6.765
STORY2;C1;SU06 MIN;0.68;-82.77;-12.47;-11.22;-0.42;-3.058;-3.932
STORY2;C1;SU06 MIN;0.906;-82.62;-12.47;-11.22;-0.42;-1.254;-1.989
STORY2;C1;SU06 MIN;1.133;-82.46;-12.47;-11.22;-0.42;-0.321;-2.446
STORY2;C1;SU06 MIN;1.359;-82.3;-12.47;-11.22;-0.42;0.13;-2.969
STORY2;C1;SU06 MIN;1.586;-82.15;-12.47;-11.22;-0.42;0.441;-3.498
STORY2;C1;SU06 MIN;1.812;-81.99;-12.47;-11.22;-0.42;0.702;-4.03
STORY2;C1;SU06 MIN;2.039;-81.83;-12.47;-11.22;-0.42;0.941;-4.563
STORY2;C1;SU06 MIN;2.19;-81.73;-12.47;-11.22;-0.42;1.093;-4.919
STORY2;C1;SU06 MIN;2.19;-51.53;-12.47;-11.22;-0.42;1.093;10.181
STORY2;C1;SU06 MIN;2.265;-51.48;-12.47;-11.22;-0.42;1.167;10.004
STORY2;C1;SU07;0;-41.09;-2.85;-3.33;0.015;-2.823;-3.226
STORY2;C1;SU07;0.227;-40.97;-2.85;-3.33;0.015;-2.068;-2.581
STORY2;C1;SU07;0.453;-40.85;-2.85;-3.33;0.015;-1.313;-1.935
STORY2;C1;SU07;0.68;-40.73;-2.85;-3.33;0.015;-0.558;-1.288
STORY2;C1;SU07;0.906;-40.62;-2.85;-3.33;0.015;0.198;-0.64
STORY2;C1;SU07;1.133;-40.5;-2.85;-3.33;0.015;0.953;0.008
STORY2;C1;SU07;1.359;-40.38;-2.85;-3.33;0.015;1.708;0.655
STORY2;C1;SU07;1.586;-40.26;-2.85;-3.33;0.015;2.463;1.302
STORY2;C1;SU07;1.812;-40.15;-2.85;-3.33;0.015;3.218;1.948
STORY2;C1;SU07;2.039;-40.03;-2.85;-3.33;0.015;3.972;2.593
STORY2;C1;SU07;2.19;-39.95;-2.85;-3.33;0.015;4.476;3.023
STORY2;C1;SU07;2.19;-25.55;-2.85;-3.33;0.015;4.476;10.223
STORY2;C1;SU07;2.265;-25.51;-2.85;-3.33;0.015;4.725;10.436
STORY2;C1;SU08 MAX;0;-36.37;6.37;-1.57;0.253;-1.249;4.792
STORY2;C1;SU08 MAX;0.227;-36.25;6.37;-1.57;0.253;-0.82;3.329
STORY2;C1;SU08 MAX;0.453;-36.13;6.37;-1.57;0.253;-0.34;1.876
STORY2;C1;SU08 MAX;0.68;-36.02;6.37;-1.57;0.253;0.181;0.468
STORY2;C1;SU08 MAX;0.906;-35.9;6.37;-1.57;0.253;0.84;0.159
STORY2;C1;SU08 MAX;1.133;-35.78;6.37;-1.57;0.253;1.761;2.694
