Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
PISO 2;C145;C30X40H210;0;Design;No Message;U06;0.0012;0.001429;0.000238;0.000238;;U08;0.000333;U09;0.00025;No Message;No Message
PISO 2;C145;C30X40H210;1.425;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U08;0.000333;U09;0.00025;No Message;No Message
PISO 2;C145;C30X40H210;2.85;Design;No Message;U05;0.0012;0.002024;0.000337;0.000337;;U08;0.000333;U09;0.00025;No Message;No Message
PISO 2;C146;C30X30H210;0;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U06;0.00025;No Message;No Message
PISO 2;C146;C30X30H210;1.425;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U06;0.00025;No Message;No Message
PISO 2;C146;C30X30H210;2.85;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U06;0.00025;No Message;No Message
PISO 2;C152;C40X40H210;0;Design;No Message;U06;0.0016;0.002023;0.000253;0.000253;;U08;0.000333;U09;0.000333;No Message;No Message
PISO 2;C152;C40X40H210;1.425;Design;No Message;U09;0.0016;0.0016;0.0002;0.0002;;U08;0.000333;U09;0.000333;No Message;No Message
PISO 2;C152;C40X40H210;2.85;Design;See WarnMsg;U02;0.0016;0.003882;0.000485;0.000485;;U08;0.000333;U09;0.000333;No Message;Joint shear ratio exceeds limit
PISO 2;C154;C40X40H210;0;Design;No Message;U09;0.0016;0.0016;0.0002;0.0002;;U08;0.000333;U09;0.000333;No Message;No Message
PISO 2;C154;C40X40H210;1.425;Design;No Message;U09;0.0016;0.0016;0.0002;0.0002;;U08;0.000333;U09;0.000333;No Message;No Message
PISO 2;C154;C40X40H210;2.85;Design;No Message;U09;0.0016;0.0016;0.0002;0.0002;;U08;0.000333;U09;0.000333;No Message;No Message
PISO 2;C155;C30X30H210;0;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U09;0;No Message;No Message
PISO 2;C155;C30X30H210;1.425;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U09;0;No Message;No Message
PISO 2;C155;C30X30H210;2.85;Design;No Message;U09;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U09;0;No Message;No Message
PISO 2;C156;C40X30H210;0;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U06;0.000333;No Message;No Message
PISO 2;C156;C40X30H210;1.425;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U06;0.000333;No Message;No Message
PISO 2;C156;C40X30H210;2.85;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U06;0.000333;No Message;No Message
PISO 1;C156;C40X30H210;0;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U09;0;No Message;No Message
PISO 1;C156;C40X30H210;0.95;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U09;0;No Message;No Message
PISO 1;C156;C40X30H210;0.95;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U09;0;No Message;No Message
PISO 1;C156;C40X30H210;1.225;Design;No Message;U09;0.0012;0.0012;0.0002;0.0002;;U09;0;U09;0;No Message;No Message
