Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY7;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;0.27;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;0.54;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;0.81;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;1.08;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;1.35;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;1.62;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;1.89;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;2.16;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;2.43;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY7;C1;C110X40H350;2.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;0.27;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;0.54;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;0.81;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;1.08;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;1.35;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;1.62;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;1.89;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;2.16;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;2.43;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY6;C1;C110X40H350;2.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU05;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;0.27;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;0.54;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;0.81;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;1.08;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;1.35;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;1.62;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;1.89;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;2.16;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;2.43;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY5;C1;C110X40H350;2.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY4;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;0.27;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;0.54;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;0.81;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;1.08;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;1.35;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;1.62;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;1.89;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;2.16;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;2.43;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY4;C1;C110X40H350;2.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY3;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;0.34;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;0.68;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;1.02;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;1.36;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;1.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;2.04;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;2.38;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;2.72;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;3.06;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY3;C1;C110X40H350;3.4;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU08;0.000353;SU09;0;No Message;No Message
STORY2;C1;C110X40H350;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;0.27;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;0.54;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;0.81;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;1.08;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;1.35;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;1.62;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;1.89;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;2.16;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;2.43;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY2;C1;C110X40H350;2.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000353;SU09;0.00097;No Message;No Message
STORY1;C1;C110X40H420;0;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;0.34;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;0.68;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;1.02;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;1.36;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;1.7;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;2.04;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;2.38;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
STORY1;C1;C110X40H420;2.72;Design;No Message;SU09;0.0044;0.0044;0.00022;0.00022;;SU09;0.000386;SU09;0;No Message;No Message
