Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY7;C1;SS01;0;-43.58;5.82;-2.42;0.041;-3.305;5.231
STORY7;C1;SS01;0.27;-43.3;5.82;-2.42;0.041;-2.651;3.661
STORY7;C1;SS01;0.54;-43.01;5.82;-2.42;0.041;-1.995;2.091
STORY7;C1;SS01;0.81;-42.73;5.82;-2.42;0.041;-1.34;0.521
STORY7;C1;SS01;1.08;-42.44;5.82;-2.42;0.041;-0.684;-1.05
STORY7;C1;SS01;1.35;-42.16;5.82;-2.42;0.041;-0.028;-2.62
STORY7;C1;SS01;1.62;-41.87;5.82;-2.42;0.041;0.628;-4.19
STORY7;C1;SS01;1.89;-41.59;5.82;-2.42;0.041;1.284;-5.76
STORY7;C1;SS01;2.16;-41.3;5.82;-2.42;0.041;1.939;-7.33
STORY7;C1;SS01;2.43;-41.02;5.82;-2.42;0.041;2.594;-8.899
STORY7;C1;SS01;2.7;-40.73;5.82;-2.42;0.041;3.249;-10.469
STORY7;C1;SS02;0;-43.59;5.85;-2.43;0.046;-3.317;5.294
STORY7;C1;SS02;0.27;-43.31;5.85;-2.43;0.046;-2.658;3.716
STORY7;C1;SS02;0.54;-43.02;5.85;-2.43;0.046;-1.999;2.138
STORY7;C1;SS02;0.81;-42.73;5.85;-2.43;0.046;-1.339;0.56
STORY7;C1;SS02;1.08;-42.45;5.85;-2.43;0.046;-0.68;-1.019
STORY7;C1;SS02;1.35;-42.16;5.85;-2.43;0.046;-0.02;-2.597
STORY7;C1;SS02;1.62;-41.88;5.85;-2.43;0.046;0.64;-4.175
STORY7;C1;SS02;1.89;-41.59;5.85;-2.43;0.046;1.3;-5.752
STORY7;C1;SS02;2.16;-41.31;5.85;-2.43;0.046;1.96;-7.33
STORY7;C1;SS02;2.43;-41.02;5.85;-2.43;0.046;2.619;-8.908
STORY7;C1;SS02;2.7;-40.74;5.85;-2.43;0.046;3.277;-10.485
STORY7;C1;SS03;0;-27.89;4.1;-1.72;0.023;-2.243;4.288
STORY7;C1;SS03;0.27;-27.6;4.1;-1.72;0.023;-1.777;3.181
STORY7;C1;SS03;0.54;-27.32;4.1;-1.72;0.023;-1.311;2.074
STORY7;C1;SS03;0.81;-27.03;4.1;-1.72;0.023;-0.845;0.967
STORY7;C1;SS03;1.08;-26.75;4.1;-1.72;0.023;-0.378;-0.14
STORY7;C1;SS03;1.35;-26.46;4.1;-1.72;0.023;0.088;-1.247
STORY7;C1;SS03;1.62;-26.17;4.1;-1.72;0.023;0.555;-2.354
STORY7;C1;SS03;1.89;-25.89;4.1;-1.72;0.023;1.021;-3.461
STORY7;C1;SS03;2.16;-25.6;4.1;-1.72;0.023;1.487;-4.567
STORY7;C1;SS03;2.43;-25.32;4.1;-1.72;0.023;1.953;-5.674
STORY7;C1;SS03;2.7;-25.03;4.1;-1.72;0.023;2.419;-6.78
STORY7;C1;SS04;0;-39.66;5.41;-2.25;0.041;-3.048;5.042
STORY7;C1;SS04;0.27;-39.38;5.41;-2.25;0.041;-2.438;3.582
STORY7;C1;SS04;0.54;-39.09;5.41;-2.25;0.041;-1.827;2.122
STORY7;C1;SS04;0.81;-38.81;5.41;-2.25;0.041;-1.216;0.661
STORY7;C1;SS04;1.08;-38.52;5.41;-2.25;0.041;-0.604;-0.799
STORY7;C1;SS04;1.35;-38.24;5.41;-2.25;0.041;0.007;-2.259
STORY7;C1;SS04;1.62;-37.95;5.41;-2.25;0.041;0.619;-3.719
STORY7;C1;SS04;1.89;-37.67;5.41;-2.25;0.041;1.23;-5.18
STORY7;C1;SS04;2.16;-37.38;5.41;-2.25;0.041;1.841;-6.64
STORY7;C1;SS04;2.43;-37.1;5.41;-2.25;0.041;2.452;-8.099
STORY7;C1;SS04;2.7;-36.81;5.41;-2.25;0.041;3.063;-9.559
STORY7;C1;SS05;0;-27.89;4.1;-1.72;0.023;-2.243;4.288
STORY7;C1;SS05;0.27;-27.6;4.1;-1.72;0.023;-1.777;3.181
STORY7;C1;SS05;0.54;-27.32;4.1;-1.72;0.023;-1.311;2.074
STORY7;C1;SS05;0.81;-27.03;4.1;-1.72;0.023;-0.845;0.967
STORY7;C1;SS05;1.08;-26.75;4.1;-1.72;0.023;-0.378;-0.14
STORY7;C1;SS05;1.35;-26.46;4.1;-1.72;0.023;0.088;-1.247
STORY7;C1;SS05;1.62;-26.17;4.1;-1.72;0.023;0.555;-2.354
STORY7;C1;SS05;1.89;-25.89;4.1;-1.72;0.023;1.021;-3.461
STORY7;C1;SS05;2.16;-25.6;4.1;-1.72;0.023;1.487;-4.567
