Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY1;C1;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;1.4;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;1.68;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;1.96;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;2.24;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;2.52;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C1;C30X30H210;2.8;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;1.4;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;1.68;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;1.96;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;2.24;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;2.52;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C2;C30X30H210;2.8;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;1.4;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;1.68;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;1.96;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;2.24;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;2.52;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C3;C30X30H210;2.8;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;1.4;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;1.68;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;1.96;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;2.24;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;2.52;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C4;C30X30H210;2.8;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;1.4;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;1.68;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;1.96;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;2.24;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;2.52;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C6;C30X30H210;2.8;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C7;C30X30H210;0;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C7;C30X30H210;0.28;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C7;C30X30H210;0.56;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C7;C30X30H210;0.84;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
STORY1;C7;C30X30H210;1.12;Design;No Message;SU07WS;0.0009;0.0009;0.000113;0.000113;;SU08;0.00025;SU07WS;0;No Message;No Message
