Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY1;C1;SU01;0;-6.86;-0.6;-0.41;-0.001;-0.477;-0.656
STORY1;C1;SU01;0.28;-6.78;-0.6;-0.41;-0.001;-0.364;-0.488
STORY1;C1;SU01;0.56;-6.69;-0.6;-0.41;-0.001;-0.25;-0.321
STORY1;C1;SU01;0.84;-6.61;-0.6;-0.41;-0.001;-0.136;-0.153
STORY1;C1;SU01;1.12;-6.52;-0.6;-0.41;-0.001;-0.023;0.014
STORY1;C1;SU01;1.4;-6.44;-0.6;-0.41;-0.001;0.091;0.182
STORY1;C1;SU01;1.68;-6.35;-0.6;-0.41;-0.001;0.205;0.349
STORY1;C1;SU01;1.96;-6.27;-0.6;-0.41;-0.001;0.318;0.517
STORY1;C1;SU01;2.24;-6.18;-0.6;-0.41;-0.001;0.432;0.684
STORY1;C1;SU01;2.52;-6.1;-0.6;-0.41;-0.001;0.545;0.851
STORY1;C1;SU01;2.8;-6.01;-0.6;-0.41;-0.001;0.659;1.018
STORY1;C1;SU02;0;-6.88;-0.77;-0.4;-0.002;-0.494;-0.85
STORY1;C1;SU02;0.28;-6.81;-0.77;-0.4;-0.002;-0.383;-0.633
STORY1;C1;SU02;0.56;-6.74;-0.77;-0.4;-0.002;-0.272;-0.416
STORY1;C1;SU02;0.84;-6.66;-0.77;-0.4;-0.002;-0.16;-0.199
STORY1;C1;SU02;1.12;-6.59;-0.77;-0.4;-0.002;-0.049;0.018
STORY1;C1;SU02;1.4;-6.52;-0.77;-0.4;-0.002;0.063;0.235
STORY1;C1;SU02;1.68;-6.45;-0.77;-0.4;-0.002;0.174;0.452
STORY1;C1;SU02;1.96;-6.37;-0.77;-0.4;-0.002;0.285;0.669
STORY1;C1;SU02;2.24;-6.3;-0.77;-0.4;-0.002;0.397;0.885
STORY1;C1;SU02;2.52;-6.23;-0.77;-0.4;-0.002;0.508;1.102
STORY1;C1;SU02;2.8;-6.15;-0.77;-0.4;-0.002;0.619;1.318
STORY1;C1;SU03WP;0;-7.23;-0.87;-0.38;-0.001;-0.465;-0.964
STORY1;C1;SU03WP;0.28;-7.15;-0.87;-0.38;-0.001;-0.358;-0.72
STORY1;C1;SU03WP;0.56;-7.08;-0.87;-0.38;-0.001;-0.252;-0.475
STORY1;C1;SU03WP;0.84;-7.01;-0.87;-0.38;-0.001;-0.146;-0.231
STORY1;C1;SU03WP;1.12;-6.94;-0.87;-0.38;-0.001;-0.039;0.014
STORY1;C1;SU03WP;1.4;-6.86;-0.87;-0.38;-0.001;0.067;0.258
STORY1;C1;SU03WP;1.68;-6.79;-0.87;-0.38;-0.001;0.174;0.503
STORY1;C1;SU03WP;1.96;-6.72;-0.87;-0.38;-0.001;0.28;0.747
STORY1;C1;SU03WP;2.24;-6.65;-0.87;-0.38;-0.001;0.386;0.991
