Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY1;C1;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.6;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.9;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.2;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.5;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.8;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;2.1;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;2.4;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;2.7;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;3;Design;No Message;U05;0.0009;0.001031;0.000129;0.000129;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;0.3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;0.6;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;0.9;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;1.2;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;1.5;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;1.8;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;2.1;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;2.4;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;2.7;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C2;C30X30H210;3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;0.3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;0.6;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;0.9;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;1.2;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;1.5;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;1.8;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;2.1;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;2.4;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;2.7;Design;No Message;U03;0.0009;0.001047;0.000131;0.000131;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C3;C30X30H210;3;Design;No Message;U03;0.0009;0.001468;0.000183;0.000183;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C4;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C4;C30X30H210;0.3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C4;C30X30H210;0.6;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C4;C30X30H210;0.9;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C4;C30X30H210;1.2;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
