Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY1;C1;U01;0;-8.11;-1.04;-1.17;0.001;-1.31;-0.914
STORY1;C1;U01;0.3;-8.02;-1.04;-1.17;0.001;-0.96;-0.602
STORY1;C1;U01;0.6;-7.92;-1.04;-1.17;0.001;-0.609;-0.291
STORY1;C1;U01;0.9;-7.83;-1.04;-1.17;0.001;-0.258;0.021
STORY1;C1;U01;1.2;-7.74;-1.04;-1.17;0.001;0.093;0.333
STORY1;C1;U01;1.5;-7.65;-1.04;-1.17;0.001;0.444;0.645
STORY1;C1;U01;1.8;-7.56;-1.04;-1.17;0.001;0.794;0.957
STORY1;C1;U01;2.1;-7.47;-1.04;-1.17;0.001;1.145;1.268
STORY1;C1;U01;2.4;-7.38;-1.04;-1.17;0.001;1.495;1.579
STORY1;C1;U01;2.7;-7.29;-1.04;-1.17;0.001;1.845;1.889
STORY1;C1;U01;3;-7.2;-1.04;-1.17;0.001;2.193;2.198
STORY1;C1;U02;0;-8.95;-1.65;-1;0.001;-1.121;-1.61
STORY1;C1;U02;0.3;-8.88;-1.65;-1;0.001;-0.821;-1.115
STORY1;C1;U02;0.6;-8.8;-1.65;-1;0.001;-0.52;-0.62
STORY1;C1;U02;0.9;-8.72;-1.65;-1;0.001;-0.219;-0.124
STORY1;C1;U02;1.2;-8.64;-1.65;-1;0.001;0.082;0.372
STORY1;C1;U02;1.5;-8.56;-1.65;-1;0.001;0.383;0.868
STORY1;C1;U02;1.8;-8.49;-1.65;-1;0.001;0.683;1.363
STORY1;C1;U02;2.1;-8.41;-1.65;-1;0.001;0.984;1.858
STORY1;C1;U02;2.4;-8.33;-1.65;-1;0.001;1.284;2.352
STORY1;C1;U02;2.7;-8.25;-1.65;-1;0.001;1.583;2.845
STORY1;C1;U02;3;-8.17;-1.65;-1;0.001;1.882;3.337
STORY1;C1;U03;0;-9.42;-1.82;-1;0.001;-1.121;-1.801
STORY1;C1;U03;0.3;-9.34;-1.82;-1;0.001;-0.82;-1.253
STORY1;C1;U03;0.6;-9.26;-1.82;-1;0.001;-0.52;-0.705
STORY1;C1;U03;0.9;-9.18;-1.82;-1;0.001;-0.219;-0.157
STORY1;C1;U03;1.2;-9.1;-1.82;-1;0.001;0.082;0.392
STORY1;C1;U03;1.5;-9.03;-1.82;-1;0.001;0.383;0.94
STORY1;C1;U03;1.8;-8.95;-1.82;-1;0.001;0.684;1.488
STORY1;C1;U03;2.1;-8.87;-1.82;-1;0.001;0.984;2.036
STORY1;C1;U03;2.4;-8.79;-1.82;-1;0.001;1.284;2.582
STORY1;C1;U03;2.7;-8.72;-1.82;-1;0.001;1.584;3.128
STORY1;C1;U03;3;-8.64;-1.82;-1;0.001;1.883;3.672
STORY1;C1;U04A;0;-9.15;-1.73;-1;0.001;-1.121;-1.693
STORY1;C1;U04A;0.3;-9.08;-1.73;-1;0.001;-0.82;-1.175
STORY1;C1;U04A;0.6;-9;-1.73;-1;0.001;-0.52;-0.657
STORY1;C1;U04A;0.9;-8.92;-1.73;-1;0.001;-0.219;-0.138
STORY1;C1;U04A;1.2;-8.84;-1.73;-1;0.001;0.082;0.38
STORY1;C1;U04A;1.5;-8.76;-1.73;-1;0.001;0.383;0.899
STORY1;C1;U04A;1.8;-8.69;-1.73;-1;0.001;0.684;1.417
STORY1;C1;U04A;2.1;-8.61;-1.73;-1;0.001;0.984;1.935
STORY1;C1;U04A;2.4;-8.53;-1.73;-1;0.001;1.284;2.452
STORY1;C1;U04A;2.7;-8.45;-1.73;-1;0.001;1.584;2.968
STORY1;C1;U04A;3;-8.38;-1.73;-1;0.001;1.883;3.482
STORY1;C1;U05 MAX;0;-7.39;-0.47;-0.82;0.009;-0.786;0.223
STORY1;C1;U05 MAX;0.3;-7.31;-0.47;-0.82;0.009;-0.541;0.363
STORY1;C1;U05 MAX;0.6;-7.23;-0.47;-0.82;0.009;-0.296;0.503
STORY1;C1;U05 MAX;0.9;-7.15;-0.47;-0.82;0.009;-0.05;0.643
STORY1;C1;U05 MAX;1.2;-7.08;-0.47;-0.82;0.009;0.196;0.782
STORY1;C1;U05 MAX;1.5;-7;-0.47;-0.82;0.009;0.441;0.921
STORY1;C1;U05 MAX;1.8;-6.92;-0.47;-0.82;0.009;0.687;1.06
STORY1;C1;U05 MAX;2.1;-6.84;-0.47;-0.82;0.009;1.033;1.568
STORY1;C1;U05 MAX;2.4;-6.76;-0.47;-0.82;0.009;1.388;2.138
STORY1;C1;U05 MAX;2.7;-6.69;-0.47;-0.82;0.009;1.743;2.707
STORY1;C1;U05 MAX;3;-6.61;-0.47;-0.82;0.009;2.098;3.275
STORY1;C1;U05 MIN;0;-8.05;-1.9;-1.18;-0.007;-1.458;-2.426
STORY1;C1;U05 MIN;0.3;-7.97;-1.9;-1.18;-0.007;-1.103;-1.856
STORY1;C1;U05 MIN;0.6;-7.9;-1.9;-1.18;-0.007;-0.747;-1.286
STORY1;C1;U05 MIN;0.9;-7.82;-1.9;-1.18;-0.007;-0.391;-0.715
STORY1;C1;U05 MIN;1.2;-7.74;-1.9;-1.18;-0.007;-0.035;-0.144
STORY1;C1;U05 MIN;1.5;-7.66;-1.9;-1.18;-0.007;0.321;0.427
STORY1;C1;U05 MIN;1.8;-7.59;-1.9;-1.18;-0.007;0.677;0.998
STORY1;C1;U05 MIN;2.1;-7.51;-1.9;-1.18;-0.007;0.932;1.199
STORY1;C1;U05 MIN;2.4;-7.43;-1.9;-1.18;-0.007;1.176;1.337
STORY1;C1;U05 MIN;2.7;-7.35;-1.9;-1.18;-0.007;1.421;1.474
STORY1;C1;U05 MIN;3;-7.27;-1.9;-1.18;-0.007;1.664;1.611
STORY1;C1;U06 MAX;0;-7.43;-0.79;-0.47;0.013;-0.158;-0.384
STORY1;C1;U06 MAX;0.3;-7.35;-0.79;-0.47;0.013;-0.016;-0.146
STORY1;C1;U06 MAX;0.6;-7.28;-0.79;-0.47;0.013;0.127;0.093
STORY1;C1;U06 MAX;0.9;-7.2;-0.79;-0.47;0.013;0.269;0.331
STORY1;C1;U06 MAX;1.2;-7.12;-0.79;-0.47;0.013;0.411;0.57
STORY1;C1;U06 MAX;1.5;-7.04;-0.79;-0.47;0.013;0.553;0.808
STORY1;C1;U06 MAX;1.8;-6.96;-0.79;-0.47;0.013;0.695;1.046
STORY1;C1;U06 MAX;2.1;-6.89;-0.79;-0.47;0.013;1.128;1.484
STORY1;C1;U06 MAX;2.4;-6.81;-0.79;-0.47;0.013;1.586;1.955
STORY1;C1;U06 MAX;2.7;-6.73;-0.79;-0.47;0.013;2.045;2.425
STORY1;C1;U06 MAX;3;-6.65;-0.79;-0.47;0.013;2.502;2.894
STORY1;C1;U06 MIN;0;-8.01;-1.57;-1.53;-0.011;-2.086;-1.819
STORY1;C1;U06 MIN;0.3;-7.93;-1.57;-1.53;-0.011;-1.628;-1.348
STORY1;C1;U06 MIN;0.6;-7.85;-1.57;-1.53;-0.011;-1.169;-0.876
STORY1;C1;U06 MIN;0.9;-7.77;-1.57;-1.53;-0.011;-0.71;-0.404
STORY1;C1;U06 MIN;1.2;-7.7;-1.57;-1.53;-0.011;-0.251;0.068
STORY1;C1;U06 MIN;1.5;-7.62;-1.57;-1.53;-0.011;0.209;0.54
STORY1;C1;U06 MIN;1.8;-7.54;-1.57;-1.53;-0.011;0.668;1.012
STORY1;C1;U06 MIN;2.1;-7.46;-1.57;-1.53;-0.011;0.837;1.283
STORY1;C1;U06 MIN;2.4;-7.39;-1.57;-1.53;-0.011;0.978;1.52
STORY1;C1;U06 MIN;2.7;-7.31;-1.57;-1.53;-0.011;1.119;1.756
STORY1;C1;U06 MIN;3;-7.23;-1.57;-1.53;-0.011;1.26;1.992
STORY1;C1;U07A;0;-5.87;-0.92;-0.75;0.001;-0.842;-0.861
STORY1;C1;U07A;0.3;-5.82;-0.92;-0.75;0.001;-0.616;-0.585
STORY1;C1;U07A;0.6;-5.76;-0.92;-0.75;0.001;-0.391;-0.309
STORY1;C1;U07A;0.9;-5.7;-0.92;-0.75;0.001;-0.165;-0.033
STORY1;C1;U07A;1.2;-5.64;-0.92;-0.75;0.001;0.06;0.243
STORY1;C1;U07A;1.5;-5.58;-0.92;-0.75;0.001;0.286;0.519
STORY1;C1;U07A;1.8;-5.52;-0.92;-0.75;0.001;0.511;0.795
STORY1;C1;U07A;2.1;-5.47;-0.92;-0.75;0.001;0.737;1.07
STORY1;C1;U07A;2.4;-5.41;-0.92;-0.75;0.001;0.962;1.345
STORY1;C1;U07A;2.7;-5.35;-0.92;-0.75;0.001;1.187;1.62
STORY1;C1;U07A;3;-5.29;-0.92;-0.75;0.001;1.411;1.894
STORY1;C1;U08 MAX;0;-4.88;0.05;-0.57;0.009;-0.506;0.736
STORY1;C1;U08 MAX;0.3;-4.82;0.05;-0.57;0.009;-0.336;0.722
STORY1;C1;U08 MAX;0.6;-4.76;0.05;-0.57;0.009;-0.166;0.707
STORY1;C1;U08 MAX;0.9;-4.7;0.05;-0.57;0.009;0.005;0.693
STORY1;C1;U08 MAX;1.2;-4.64;0.05;-0.57;0.009;0.175;0.677
STORY1;C1;U08 MAX;1.5;-4.59;0.05;-0.57;0.009;0.345;0.662
STORY1;C1;U08 MAX;1.8;-4.53;0.05;-0.57;0.009;0.515;0.646
STORY1;C1;U08 MAX;2.1;-4.47;0.05;-0.57;0.009;0.787;1
STORY1;C1;U08 MAX;2.4;-4.41;0.05;-0.57;0.009;1.067;1.415
STORY1;C1;U08 MAX;2.7;-4.35;0.05;-0.57;0.009;1.347;1.831
STORY1;C1;U08 MAX;3;-4.29;0.05;-0.57;0.009;1.627;2.245
STORY1;C1;U08 MIN;0;-5.54;-1.38;-0.93;-0.007;-1.178;-1.912
STORY1;C1;U08 MIN;0.3;-5.49;-1.38;-0.93;-0.007;-0.898;-1.497
STORY1;C1;U08 MIN;0.6;-5.43;-1.38;-0.93;-0.007;-0.617;-1.081
STORY1;C1;U08 MIN;0.9;-5.37;-1.38;-0.93;-0.007;-0.337;-0.665
STORY1;C1;U08 MIN;1.2;-5.31;-1.38;-0.93;-0.007;-0.056;-0.249
STORY1;C1;U08 MIN;1.5;-5.25;-1.38;-0.93;-0.007;0.225;0.168
STORY1;C1;U08 MIN;1.8;-5.19;-1.38;-0.93;-0.007;0.506;0.584
STORY1;C1;U08 MIN;2.1;-5.14;-1.38;-0.93;-0.007;0.685;0.63
STORY1;C1;U08 MIN;2.4;-5.08;-1.38;-0.93;-0.007;0.855;0.614
STORY1;C1;U08 MIN;2.7;-5.02;-1.38;-0.93;-0.007;1.024;0.598
STORY1;C1;U08 MIN;3;-4.96;-1.38;-0.93;-0.007;1.193;0.581
STORY1;C1;U09 MAX;0;-4.92;-0.28;-0.22;0.012;0.122;0.13
STORY1;C1;U09 MAX;0.3;-4.86;-0.28;-0.22;0.012;0.189;0.214
STORY1;C1;U09 MAX;0.6;-4.81;-0.28;-0.22;0.012;0.256;0.298
STORY1;C1;U09 MAX;0.9;-4.75;-0.28;-0.22;0.012;0.324;0.381
STORY1;C1;U09 MAX;1.2;-4.69;-0.28;-0.22;0.012;0.391;0.465
STORY1;C1;U09 MAX;1.5;-4.63;-0.28;-0.22;0.012;0.458;0.548
STORY1;C1;U09 MAX;1.8;-4.57;-0.28;-0.22;0.012;0.524;0.632
