Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
PISO 4;C1;C40X80H490;0;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;0.315;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;0.63;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;0.945;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;1.26;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;1.575;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;1.89;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;2.205;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;2.52;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;2.835;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 4;C1;C40X80H490;3.15;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;0;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;0.285;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;0.57;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;0.855;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;1.14;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;1.425;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;1.71;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;1.995;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;2.28;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;2.565;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 3;C1;C40X80H490;2.85;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;0;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;0.24;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;0.48;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;0.72;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;0.96;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;1.2;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;1.44;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
PISO 2;C1;C40X80H490;1.68;Design;No Message;SU07;0.0032;0.0032;0.0002;0.0002;;SU07;0;SU07;0;No Message;No Message
