Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY2;C1;C40X80H350;0;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;0.237;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;0.473;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;0.71;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;0.946;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;1.183;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;1.419;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;1.656;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;1.892;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.04;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.04;Design;No Message;SU05;0.0032;0.006704;0.000479;0.000479;;SU05;0.000989;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.09;Design;No Message;SU05;0.0032;0.006997;0.0005;0.0005;;SU05;0.000989;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.09;Design;No Message;SU05;0.0032;0.007766;0.000555;0.000555;;SU05;0.000989;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.129;Design;No Message;SU05;0.0032;0.007971;0.000569;0.000569;;SU05;0.000989;SU09;0.000353;No Message;No Message
STORY2;C1;C40X80H350;2.365;Design;No Message;SU05;0.0032;0.009035;0.000645;0.000645;;SU05;0.00099;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;0;Design;No Message;SU09;0.0032;0.004548;0.000325;0.000325;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;0.257;Design;No Message;SU09;0.0032;0.003377;0.000241;0.000241;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;0.513;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;0.77;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;1.026;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;1.283;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;1.539;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;1.796;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;2.052;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;2.29;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;2.29;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;2.309;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C1;C40X80H350;2.565;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;0;Design;No Message;SU08;0.0032;0.003517;0.000251;0.000251;;SU05;0.001705;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;0.237;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001706;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;0.473;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001707;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;0.71;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001707;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;0.946;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001706;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;1.183;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001705;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;1.419;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001704;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;1.656;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001702;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;1.892;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.001701;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;2.04;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU05;0.0017;SU09;0.000353;No Message;No Message
STORY2;C2;C40X80H350;2.04;Design;No Message;SU05;0.0032;0.004897;0.00035;0.00035;;SU06;0.001289;SU09;0.000382;No Message;No Message
STORY2;C2;C40X80H350;2.129;Design;No Message;SU05;0.0032;0.005367;0.000383;0.000383;;SU06;0.001288;SU09;0.000382;No Message;No Message
STORY2;C2;C40X80H350;2.365;Design;No Message;SU05;0.0032;0.006959;0.000497;0.000497;;SU06;0.001287;SU09;0.000382;No Message;No Message
STORY1;C2;C40X80H350;0;Design;No Message;SU06;0.0032;0.004866;0.000348;0.000348;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;0.257;Design;No Message;SU09;0.0032;0.003462;0.000247;0.000247;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;0.515;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;0.772;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;1.029;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;1.287;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;1.544;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;1.802;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;2.059;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;2.29;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;2.29;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;2.316;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY1;C2;C40X80H350;2.574;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C3;C40X80H350;0;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C3;C40X80H350;0.247;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C3;C40X80H350;0.493;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
STORY2;C3;C40X80H350;0.74;Design;No Message;SU09;0.0032;0.0032;0.000229;0.000229;;SU09;0.000706;SU09;0.000353;No Message;No Message
