Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY2;C1;SU01;0;-100.7;-6.69;-1.34;-0.052;-4.302;-9.388
STORY2;C1;SU01;0.237;-100.45;-6.69;-1.34;-0.052;-3.985;-7.804
STORY2;C1;SU01;0.473;-100.19;-6.69;-1.34;-0.052;-3.668;-6.217
STORY2;C1;SU01;0.71;-99.94;-6.69;-1.34;-0.052;-3.351;-4.628
STORY2;C1;SU01;0.946;-99.68;-6.69;-1.34;-0.052;-3.033;-3.037
STORY2;C1;SU01;1.183;-99.43;-6.69;-1.34;-0.052;-2.715;-1.445
STORY2;C1;SU01;1.419;-99.17;-6.69;-1.34;-0.052;-2.397;0.146
STORY2;C1;SU01;1.656;-98.92;-6.69;-1.34;-0.052;-2.079;1.735
STORY2;C1;SU01;1.892;-98.66;-6.69;-1.34;-0.052;-1.761;3.322
STORY2;C1;SU01;2.04;-98.5;-6.69;-1.34;-0.052;-1.563;4.314
STORY2;C1;SU01;2.04;-31.3;-6.69;-1.34;-0.052;-1.563;23.214
STORY2;C1;SU01;2.09;-31.25;-6.69;-1.34;-0.052;-1.496;23.548
STORY2;C1;SU01;2.09;-31.25;-6.69;-1.34;-0.052;13.204;23.548
STORY2;C1;SU01;2.129;-31.21;-6.69;-1.34;-0.052;13.256;23.806
STORY2;C1;SU01;2.365;-30.95;-6.69;-1.34;-0.052;13.573;25.385
STORY2;C1;SU02;0;-136.17;-9.64;-4.46;-0.091;-7.242;-13.502
STORY2;C1;SU02;0.237;-135.96;-9.64;-4.46;-0.091;-6.187;-11.22
STORY2;C1;SU02;0.473;-135.74;-9.64;-4.46;-0.091;-5.131;-8.934
STORY2;C1;SU02;0.71;-135.52;-9.64;-4.46;-0.091;-4.074;-6.644
STORY2;C1;SU02;0.946;-135.3;-9.64;-4.46;-0.091;-3.018;-4.352
STORY2;C1;SU02;1.183;-135.08;-9.64;-4.46;-0.091;-1.961;-2.059
STORY2;C1;SU02;1.419;-134.86;-9.64;-4.46;-0.091;-0.904;0.233
STORY2;C1;SU02;1.656;-134.65;-9.64;-4.46;-0.091;0.152;2.523
STORY2;C1;SU02;1.892;-134.43;-9.64;-4.46;-0.091;1.209;4.809
STORY2;C1;SU02;2.04;-134.29;-9.64;-4.46;-0.091;1.869;6.237
STORY2;C1;SU02;2.04;-44.69;-9.64;-4.46;-0.091;1.869;33.637
STORY2;C1;SU02;2.09;-44.65;-9.64;-4.46;-0.091;2.092;34.119
STORY2;C1;SU02;2.09;-44.65;-9.64;-4.46;-0.091;19.492;34.119
STORY2;C1;SU02;2.129;-44.61;-9.64;-4.46;-0.091;19.664;34.49
STORY2;C1;SU02;2.365;-44.39;-9.64;-4.46;-0.091;20.719;36.764
STORY2;C1;SU03;0;-86.31;-5.74;-1.14;-0.045;-3.687;-8.047
STORY2;C1;SU03;0.237;-86.1;-5.74;-1.14;-0.045;-3.416;-6.69
STORY2;C1;SU03;0.473;-85.88;-5.74;-1.14;-0.045;-3.144;-5.329
