Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY9;C1;U01;0;-18.35;2.6;-3.15;-0.025;-3.609;1.053
STORY9;C1;U01;0.245;-18.1;2.6;-3.15;-0.025;-2.839;0.419
STORY9;C1;U01;0.49;-17.85;2.6;-3.15;-0.025;-2.068;-0.215
STORY9;C1;U01;0.735;-17.6;2.6;-3.15;-0.025;-1.297;-0.85
STORY9;C1;U01;0.98;-17.36;2.6;-3.15;-0.025;-0.525;-1.484
STORY9;C1;U01;1.225;-17.11;2.6;-3.15;-0.025;0.246;-2.119
STORY9;C1;U01;1.47;-16.86;2.6;-3.15;-0.025;1.018;-2.753
STORY9;C1;U01;1.715;-16.62;2.6;-3.15;-0.025;1.789;-3.387
STORY9;C1;U01;1.96;-16.37;2.6;-3.15;-0.025;2.56;-4.022
STORY9;C1;U01;2.205;-16.12;2.6;-3.15;-0.025;3.33;-4.656
STORY9;C1;U01;2.45;-15.87;2.6;-3.15;-0.025;4.1;-5.29
STORY9;C1;U02;0;-24.23;4.1;-4.48;-0.055;-4.827;1.746
STORY9;C1;U02;0.245;-24.01;4.1;-4.48;-0.055;-3.729;0.745
STORY9;C1;U02;0.49;-23.8;4.1;-4.48;-0.055;-2.631;-0.256
STORY9;C1;U02;0.735;-23.59;4.1;-4.48;-0.055;-1.532;-1.258
STORY9;C1;U02;0.98;-23.38;4.1;-4.48;-0.055;-0.433;-2.259
STORY9;C1;U02;1.225;-23.17;4.1;-4.48;-0.055;0.667;-3.26
STORY9;C1;U02;1.47;-22.95;4.1;-4.48;-0.055;1.766;-4.262
STORY9;C1;U02;1.715;-22.74;4.1;-4.48;-0.055;2.865;-5.263
STORY9;C1;U02;1.96;-22.53;4.1;-4.48;-0.055;3.963;-6.264
STORY9;C1;U02;2.205;-22.32;4.1;-4.48;-0.055;5.061;-7.265
STORY9;C1;U02;2.45;-22.11;4.1;-4.48;-0.055;6.158;-8.266
STORY9;C1;U03;0;-17.23;2.52;-2.95;-0.026;-3.306;0.915
STORY9;C1;U03;0.245;-17.02;2.52;-2.95;-0.026;-2.583;0.298
STORY9;C1;U03;0.49;-16.81;2.52;-2.95;-0.026;-1.859;-0.318
STORY9;C1;U03;0.735;-16.59;2.52;-2.95;-0.026;-1.135;-0.934
STORY9;C1;U03;0.98;-16.38;2.52;-2.95;-0.026;-0.411;-1.55
STORY9;C1;U03;1.225;-16.17;2.52;-2.95;-0.026;0.313;-2.166
STORY9;C1;U03;1.47;-15.96;2.52;-2.95;-0.026;1.037;-2.782
STORY9;C1;U03;1.715;-15.75;2.52;-2.95;-0.026;1.761;-3.398
STORY9;C1;U03;1.96;-15.53;2.52;-2.95;-0.026;2.485;-4.014
STORY9;C1;U03;2.205;-15.32;2.52;-2.95;-0.026;3.208;-4.63
STORY9;C1;U03;2.45;-15.11;2.52;-2.95;-0.026;3.931;-5.246
STORY9;C1;U04;0;-21.2;3.4;-3.8;-0.043;-4.148;1.316
STORY9;C1;U04;0.245;-20.99;3.4;-3.8;-0.043;-3.218;0.486
STORY9;C1;U04;0.49;-20.78;3.4;-3.8;-0.043;-2.287;-0.344
STORY9;C1;U04;0.735;-20.57;3.4;-3.8;-0.043;-1.357;-1.175
STORY9;C1;U04;0.98;-20.35;3.4;-3.8;-0.043;-0.425;-2.005
STORY9;C1;U04;1.225;-20.14;3.4;-3.8;-0.043;0.506;-2.835
STORY9;C1;U04;1.47;-19.93;3.4;-3.8;-0.043;1.437;-3.666
STORY9;C1;U04;1.715;-19.72;3.4;-3.8;-0.043;2.368;-4.496
STORY9;C1;U04;1.96;-19.51;3.4;-3.8;-0.043;3.298;-5.326
STORY9;C1;U04;2.205;-19.29;3.4;-3.8;-0.043;4.228;-6.156
STORY9;C1;U04;2.45;-19.08;3.4;-3.8;-0.043;5.157;-6.986
STORY9;C1;U05 MAX;0;-18.69;5.69;-2.84;0.213;-3.182;4.817
STORY9;C1;U05 MAX;0.245;-18.48;5.69;-2.84;0.213;-2.484;3.952
STORY9;C1;U05 MAX;0.49;-18.27;5.69;-2.84;0.213;-1.782;3.203
STORY9;C1;U05 MAX;0.735;-18.06;5.69;-2.84;0.213;-1.07;2.565
STORY9;C1;U05 MAX;0.98;-17.84;5.69;-2.84;0.213;-0.297;2.024
STORY9;C1;U05 MAX;1.225;-17.63;5.69;-2.84;0.213;0.727;1.56
STORY9;C1;U05 MAX;1.47;-17.42;5.69;-2.84;0.213;1.828;1.154
STORY9;C1;U05 MAX;1.715;-17.21;5.69;-2.84;0.213;2.945;0.789
STORY9;C1;U05 MAX;1.96;-17;5.69;-2.84;0.213;4.067;0.456
STORY9;C1;U05 MAX;2.205;-16.78;5.69;-2.84;0.213;5.191;0.146
STORY9;C1;U05 MAX;2.45;-16.57;5.69;-2.84;0.213;6.314;-0.147
STORY9;C1;U05 MIN;0;-22.77;0.91;-4.59;-0.297;-4.981;-2.192
STORY9;C1;U05 MIN;0.245;-22.56;0.91;-4.59;-0.297;-3.858;-2.942
STORY9;C1;U05 MIN;0.49;-22.35;0.91;-4.59;-0.297;-2.738;-3.808
STORY9;C1;U05 MIN;0.735;-22.13;0.91;-4.59;-0.297;-1.628;-4.786
STORY9;C1;U05 MIN;0.98;-21.92;0.91;-4.59;-0.297;-0.579;-5.861
STORY9;C1;U05 MIN;1.225;-21.71;0.91;-4.59;-0.297;0.22;-7.012
STORY9;C1;U05 MIN;1.47;-21.5;0.91;-4.59;-0.297;0.943;-8.221
STORY9;C1;U05 MIN;1.715;-21.29;0.91;-4.59;-0.297;1.648;-9.472
STORY9;C1;U05 MIN;1.96;-21.07;0.91;-4.59;-0.297;2.347;-10.754
STORY9;C1;U05 MIN;2.205;-20.86;0.91;-4.59;-0.297;3.044;-12.058
STORY9;C1;U05 MIN;2.45;-20.65;0.91;-4.59;-0.297;3.74;-13.38
STORY9;C1;U06 MAX;0;-18.95;4.69;-2.39;0.189;-2.767;3.575
STORY9;C1;U06 MAX;0.245;-18.74;4.69;-2.39;0.189;-2.178;2.81
STORY9;C1;U06 MAX;0.49;-18.53;4.69;-2.39;0.189;-1.585;2.101
STORY9;C1;U06 MAX;0.735;-18.31;4.69;-2.39;0.189;-0.973;1.444
STORY9;C1;U06 MAX;0.98;-18.1;4.69;-2.39;0.189;-0.242;0.829
STORY9;C1;U06 MAX;1.225;-17.89;4.69;-2.39;0.189;0.869;0.248
