Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY9;C1;C100X30H280;0;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;0.245;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;0.49;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;0.735;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;0.98;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;1.225;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;1.47;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;1.715;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;1.96;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;2.205;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY9;C1;C100X30H280;2.45;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;0;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;0.235;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;0.47;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;0.705;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;0.94;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;1.175;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;1.41;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;1.645;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;1.88;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;2.115;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY8;C1;C100X30H280;2.35;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;0;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;0.235;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;0.47;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;0.705;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;0.94;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;1.175;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;1.41;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;1.645;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
STORY7;C1;C100X30H280;1.88;Design;No Message;U09;0.003;0.003;0.000272;0.000191;;U09;0;U09;0;No Message;No Message
