Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY2;C1;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;0.23;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;0.46;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;0.69;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;0.92;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;1.15;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;1.38;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;1.61;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;1.84;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;2.07;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY2;C1;C30X30H210;2.3;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U05;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.27;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.54;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;0.81;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.08;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.35;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.62;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
STORY1;C1;C30X30H210;1.89;Design;No Message;U07B;0.0009;0.0009;0.000113;0.000113;;U08;0.00025;U07B;0;No Message;No Message
