Story;Column;Load;Loc;P;V2;V3;T;M2;M3
STORY2;C1;U01;0;-4.15;-1.08;-0.59;-0.003;-0.735;-1.631
STORY2;C1;U01;0.23;-4.08;-1.08;-0.59;-0.003;-0.6;-1.383
STORY2;C1;U01;0.46;-4.01;-1.08;-0.59;-0.003;-0.465;-1.134
STORY2;C1;U01;0.69;-3.94;-1.08;-0.59;-0.003;-0.329;-0.886
STORY2;C1;U01;0.92;-3.87;-1.08;-0.59;-0.003;-0.194;-0.637
STORY2;C1;U01;1.15;-3.8;-1.08;-0.59;-0.003;-0.058;-0.388
STORY2;C1;U01;1.38;-3.73;-1.08;-0.59;-0.003;0.077;-0.139
STORY2;C1;U01;1.61;-3.66;-1.08;-0.59;-0.003;0.213;0.11
STORY2;C1;U01;1.84;-3.59;-1.08;-0.59;-0.003;0.348;0.358
STORY2;C1;U01;2.07;-3.52;-1.08;-0.59;-0.003;0.484;0.607
STORY2;C1;U01;2.3;-3.45;-1.08;-0.59;-0.003;0.619;0.856
STORY2;C1;U02;0;-4.12;-1.35;-0.51;-0.004;-0.635;-2.103
STORY2;C1;U02;0.23;-4.06;-1.35;-0.51;-0.004;-0.518;-1.793
STORY2;C1;U02;0.46;-4;-1.35;-0.51;-0.004;-0.401;-1.483
STORY2;C1;U02;0.69;-3.94;-1.35;-0.51;-0.004;-0.283;-1.173
STORY2;C1;U02;0.92;-3.88;-1.35;-0.51;-0.004;-0.166;-0.862
STORY2;C1;U02;1.15;-3.82;-1.35;-0.51;-0.004;-0.049;-0.552
STORY2;C1;U02;1.38;-3.76;-1.35;-0.51;-0.004;0.069;-0.241
STORY2;C1;U02;1.61;-3.7;-1.35;-0.51;-0.004;0.186;0.069
STORY2;C1;U02;1.84;-3.64;-1.35;-0.51;-0.004;0.303;0.38
STORY2;C1;U02;2.07;-3.58;-1.35;-0.51;-0.004;0.421;0.69
STORY2;C1;U02;2.3;-3.52;-1.35;-0.51;-0.004;0.538;1
STORY2;C1;U03;0;-4.26;-1.12;-0.51;-0.005;-0.631;-1.495
STORY2;C1;U03;0.23;-4.2;-1.12;-0.51;-0.005;-0.514;-1.238
STORY2;C1;U03;0.46;-4.14;-1.12;-0.51;-0.005;-0.398;-0.98
