Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
PISO 3;C1;SECCIONT;0;Check;No Message;SU08;0.007563;0.010487;;;0.385;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;0.235;Check;No Message;SU08;0.007563;0.010487;;;0.339;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;0.47;Check;No Message;SU08;0.007563;0.010487;;;0.293;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;0.705;Check;No Message;SU08;0.007563;0.010487;;;0.247;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;0.94;Check;No Message;SU09;0.007563;0.010487;;;0.202;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;1.175;Check;No Message;SU09;0.007563;0.010487;;;0.158;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;1.41;Check;No Message;SU09;0.007563;0.010487;;;0.117;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;1.645;Check;No Message;SU05;0.007563;0.010487;;;0.094;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;1.88;Check;No Message;SU05;0.007563;0.010487;;;0.096;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;2.115;Check;No Message;SU05;0.007563;0.010487;;;0.099;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C1;SECCIONT;2.35;Check;No Message;SU05;0.007563;0.010487;;;0.103;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 2;C1;SECCIONT;0;Check;No Message;SU08;0.007563;0.010487;;;0.712;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;0.235;Check;No Message;SU08;0.007563;0.010487;;;0.633;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;0.47;Check;No Message;SU08;0.007563;0.010487;;;0.554;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;0.705;Check;No Message;SU08;0.007563;0.010487;;;0.475;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;0.94;Check;No Message;SU08;0.007563;0.010487;;;0.396;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;1.175;Check;No Message;SU08;0.007563;0.010487;;;0.317;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;1.41;Check;No Message;SU05;0.007563;0.010487;;;0.249;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;1.645;Check;No Message;SU08;0.007563;0.010487;;;0.235;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;1.88;Check;No Message;SU08;0.007563;0.010487;;;0.245;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;2.115;Check;No Message;SU08;0.007563;0.010487;;;0.259;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 2;C1;SECCIONT;2.35;Check;No Message;SU08;0.007563;0.010487;;;0.276;SU09;0.00125;SU08;0.001766;No Message;No Message
PISO 1;C1;SECCIONT;0;Check;No Message;SU09;0.007563;0.010487;;;0.562;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;0.255;Check;No Message;SU09;0.007563;0.010487;;;0.55;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;0.51;Check;No Message;SU09;0.007563;0.010487;;;0.548;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;0.765;Check;No Message;SU09;0.007563;0.010487;;;0.549;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;1.02;Check;No Message;SU09;0.007563;0.010487;;;0.552;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;1.275;Check;No Message;SU09;0.007563;0.010487;;;0.555;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;1.53;Check;No Message;SU09;0.007563;0.010487;;;0.56;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;1.785;Check;No Message;SU09;0.007563;0.010487;;;0.566;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;2.04;Check;No Message;SU09;0.007563;0.010487;;;0.575;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;2.295;Check;No Message;SU08;0.007563;0.010487;;;0.589;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 1;C1;SECCIONT;2.55;Check;No Message;SU08;0.007563;0.010487;;;0.626;SU09;0.00125;SU09;0.001458;No Message;No Message
PISO 3;C2;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.00221;No Message;No Message
PISO 3;C2;C35X80H280;0.235;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002209;No Message;No Message
PISO 3;C2;C35X80H280;0.47;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002207;No Message;No Message
PISO 3;C2;C35X80H280;0.705;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002206;No Message;No Message
PISO 3;C2;C35X80H280;0.94;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002204;No Message;No Message
PISO 3;C2;C35X80H280;1.175;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002202;No Message;No Message
PISO 3;C2;C35X80H280;1.41;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002201;No Message;No Message
PISO 3;C2;C35X80H280;1.645;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002199;No Message;No Message
PISO 3;C2;C35X80H280;1.88;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002197;No Message;No Message
PISO 3;C2;C35X80H280;2.115;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002196;No Message;No Message
PISO 3;C2;C35X80H280;2.35;Design;See WarnMsg;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000361;SU09;0.002194;No Message;Beam/Column capacity ratio exceeds limit
