Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
PISO 3;C1;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;0.235;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;0.47;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;0.705;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;0.94;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;1.175;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;1.41;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;1.645;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;1.88;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;2.115;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000395;SU09;0.001674;No Message;No Message
PISO 3;C1;C35X80H280;2.35;Design;See WarnMsg;SU05;0.0028;0.003507;0.000219;0.000219;;SU09;0.000395;SU09;0.001674;No Message;Beam/Column capacity ratio exceeds limit
PISO 2;C1;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;0.235;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;0.47;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;0.705;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;0.94;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;1.175;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;1.41;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;1.645;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;1.88;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;2.115;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 2;C1;C35X80H280;2.35;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU08;0.000786;No Message;No Message
PISO 1;C1;C35X80H280;0;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C1;C35X80H280;0.255;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
PISO 1;C1;C35X80H280;0.51;Design;No Message;SU09;0.0028;0.0028;0.000175;0.000175;;SU09;0.000292;SU09;0.000667;No Message;No Message
